Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Length,Relative Time,cluster,dbscan_cluster,anomaly
192.168.29.59,192.168.29.1,TCP,62906,53,54,1750930524.648983,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62907,54,1750930524.651723,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62906,54,1750930524.651723,0,0,1
192.168.29.59,192.168.29.1,TCP,62906,53,54,1750930524.65208,0,0,1
192.168.29.59,192.168.29.1,TCP,62907,53,54,1750930524.652137,0,0,1
192.168.29.59,192.168.29.1,TCP,62908,53,54,1750930524.661169,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62908,112,1750930524.662599,0,0,1
192.168.29.59,192.168.29.1,TCP,62908,53,54,1750930524.663087,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62908,54,1750930524.665034,0,0,1
192.168.29.59,192.168.29.1,TCP,62908,53,54,1750930524.665353,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,131,1750930524.823209,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,352,1750930524.823501,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,54,1750930524.884317,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,109,1750930524.88454,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,203,1750930524.884883,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930524.884982,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,192,1750930524.885226,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930524.938649,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,131,1750930525.001875,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,298,1750930525.002248,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,54,1750930525.061344,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,109,1750930525.061344,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,202,1750930525.062476,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,149,1750930525.062476,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930525.062675,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930525.109965,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,131,1750930525.17618,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,301,1750930525.176467,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,54,1750930525.233844,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,109,1750930525.2342,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,268,1750930525.234456,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930525.234652,0,0,1
192.168.29.59,192.168.29.1,TCP,62911,53,66,1750930525.321753,0,0,1
192.168.29.59,192.168.29.1,TCP,62912,53,66,1750930525.322099,0,0,1
192.168.29.59,192.168.29.1,TCP,62913,53,66,1750930525.322354,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62911,66,1750930525.330043,0,0,1
192.168.29.59,192.168.29.1,TCP,62911,53,54,1750930525.330277,0,0,1
192.168.29.59,192.168.29.1,TCP,62911,53,100,1750930525.331647,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62912,66,1750930525.332084,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62913,66,1750930525.332084,0,0,1
192.168.29.59,192.168.29.1,TCP,62912,53,54,1750930525.332343,0,0,1
192.168.29.59,192.168.29.1,TCP,62913,53,54,1750930525.332422,0,0,1
192.168.29.59,192.168.29.1,TCP,62912,53,100,1750930525.335104,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62911,54,1750930525.336062,0,0,1
192.168.29.59,192.168.29.1,TCP,62913,53,100,1750930525.336458,0,0,1
